filename,filters_per_layer,number_of_layers,total_filters,kernel_size,input_size,cpu_utilization_avg,memory_utilization_avg,cpu_power_avg,tpu_power_avg,inference_time,usb_type,tpu_mode,block_type,total_power_avg,total_energy_joules,joules_per_input,inference_time_per_input
cnn_fullconv_10_10_repeat5_shape1280x720.csv,10,5,50,10,921600,43.28722995097403,1914.542514285714,1.2521807487743508,0.2148711992775966,390.0,usb2,std,fullconv,5.217051948051948,2034.65025974026,2.03465025974026,0.39
cnn_fullconv_10_11_repeat5_shape1280x720.csv,10,5,50,11,921600,42.79386431217949,1915.14827948718,1.2398466078044874,0.2236021101442311,395.0,usb2,std,fullconv,5.213448717948719,2059.312243589744,2.059312243589744,0.395
cnn_fullconv_10_12_repeat5_shape1280x720.csv,10,5,50,12,921600,42.25796585288461,1915.4191,1.2264491463221152,0.2075252126522437,395.0,usb2,std,fullconv,5.183974358974359,2047.669871794872,2.047669871794872,0.395
cnn_fullconv_10_13_repeat5_shape1280x720.csv,10,5,50,13,921600,41.65943306044303,1914.7887443037976,1.2114858265110755,0.2306534139952529,400.0,usb2,std,fullconv,5.192139240506329,2076.855696202532,2.0768556962025317,0.4
cnn_fullconv_10_14_repeat5_shape1280x720.csv,10,5,50,14,921600,41.80282945537975,1914.806,1.2150707363844937,0.2001444534889227,400.0,usb2,std,fullconv,5.165215189873416,2066.0860759493667,2.0660860759493667,0.4
cnn_fullconv_10_15_repeat5_shape1280x720.csv,10,5,50,15,921600,40.7407921334375,1918.5734225,1.1885198033359374,0.2487551966640619,405.0,usb2,std,fullconv,5.187275,2100.846375,2.100846375,0.405
cnn_fullconv_10_16_repeat5_shape1280x720.csv,10,5,50,16,921600,40.32958158919754,1914.844572839506,1.1782395397299383,0.2395258923688272,410.0,usb2,std,fullconv,5.167765432098766,2118.783827160494,2.1187838271604944,0.41
cnn_fullconv_10_17_repeat5_shape1280x720.csv,10,5,50,17,921600,39.911609175,1915.8994197530865,1.167790229375,0.2513702644521602,410.0,usb2,std,fullconv,5.16916049382716,2119.355802469136,2.119355802469136,0.41
cnn_fullconv_10_18_repeat5_shape1280x720.csv,10,5,50,18,921600,39.22969798364198,1915.5551185185184,1.1507424495910494,0.2709982911496915,410.0,usb2,std,fullconv,5.1717407407407405,2120.4137037037035,2.1204137037037034,0.41
cnn_fullconv_10_19_repeat5_shape1280x720.csv,10,5,50,19,921600,39.088538088271605,1914.1610172839507,1.14721345220679,0.2742927206327161,410.0,usb2,std,fullconv,5.171506172839506,2120.3175308641976,2.120317530864197,0.41
cnn_fullconv_10_1_repeat5_shape1280x720.csv,10,5,50,1,921600,47.89752693219178,1914.762328767124,1.3674381733047944,0.1223152513527399,370.0,usb2,std,fullconv,5.239753424657534,1938.708767123288,1.938708767123288,0.37
