iter	RMSE
0	11.91403621
1	11.65641662
2	11.38536778
3	11.1407964
4	10.91358814
5	10.71677202
6	10.51990586
7	10.32859007
8	10.10519377
9	9.924126847
10	9.726253143
11	9.536362099
12	9.335630762
13	9.178641425
14	8.982855469
15	8.804654588
16	8.655088568
17	8.488371684
18	8.331148202
19	8.15634812
20	8.033642028
21	7.880408619
22	7.751140656
23	7.624747692
24	7.476788238
25	7.34383607
26	7.218411263
27	7.085412535
28	6.966277035
29	6.856754164
30	6.743994039
31	6.624539042
32	6.512465936
33	6.411399286
34	6.292382535
35	6.196691497
36	6.102248515
37	6.001172261
38	5.903131113
39	5.812983013
40	5.729501435
41	5.65046444
42	5.5729292
43	5.497015019
44	5.41993539
45	5.342241466
46	5.2598764
47	5.18588999
48	5.107626199
49	5.039541258
50	4.967565779
51	4.898033198
52	4.841383826
53	4.791690891
54	4.729677622
55	4.675873439
56	4.606614428
57	4.546742991
58	4.494059311
59	4.440175622
60	4.378453846
61	4.321051343
62	4.264354594
63	4.204329898
64	4.155180927
65	4.106274952
66	4.057302896
67	4.00551109
68	3.960763613
69	3.911360765
70	3.878778569
71	3.843472229
72	3.795802909
73	3.752890846
74	3.703292855
75	3.664558522
76	3.618596787
77	3.573511923
78	3.529950296
79	3.499779349
80	3.460276923
81	3.418722898
82	3.380382169
83	3.344685397
84	3.307658135
85	3.26970744
86	3.236011589
87	3.198515484
88	3.163664095
89	3.127440496
90	3.089811482
91	3.054326717
92	3.022026076
93	2.990178618
94	2.95962832
95	2.926737438
96	2.896894692
97	2.859762051
98	2.831184685
99	2.797261452
100	2.766532223
101	2.73795412
102	2.711354033
103	2.681749456
104	2.660226342
105	2.620725712
106	2.598445588
107	2.571497871
108	2.54598997
109	2.515091299
110	2.483932268
111	2.459192738
112	2.432418739
113	2.403835086
114	2.380756673
115	2.358083757
116	2.340931863
117	2.323974591
118	2.298871237
119	2.281104706
120	2.257943962
121	2.234052228
122	2.217877411
123	2.201261036
124	2.180050501
125	2.165157074
126	2.14333381
127	2.122556236
128	2.101581665
129	2.076655953
130	2.056491633
131	2.035229316
132	2.015946228
133	1.99795819
134	1.977464031
135	1.959227839
136	1.942814077
137	1.931670544
138	1.918693541
139	1.898757194
140	1.881649906
141	1.864936971
142	1.846733778
143	1.831913065
144	1.815399651
145	1.797969511
146	1.783072595
147	1.767157032
148	1.745757115
149	1.726823559
150	1.715540831
151	1.694058068
152	1.679753882
153	1.670938156
154	1.656442389
155	1.636849489
156	1.616705067
157	1.600615462
158	1.587116002
159	1.577240114
160	1.557768655
161	1.549017164
162	1.538960545
163	1.529514621
164	1.518203447
165	1.497163042
166	1.48531214
167	1.474984758
168	1.462095746
169	1.454450076
170	1.443556658
171	1.432083632
172	1.412753123
173	1.402490964
174	1.390677651
175	1.379718944
176	1.364959412
177	1.357908084
178	1.343534542
179	1.333630851
180	1.326662726
181	1.318576053
182	1.312075645
183	1.302814224
184	1.292697648
185	1.285227774
186	1.27061423
187	1.258772137
188	1.252623777
189	1.243521792
190	1.229061998
191	1.219964469
192	1.211538133
193	1.198036888
194	1.185565118
195	1.170211501
196	1.161575162
197	1.150348119
198	1.137531874
199	1.123499865
200	1.1133611
201	1.108104876
202	1.096103234
203	1.088461226
204	1.076885393
205	1.065606814
206	1.055957159
207	1.043615016
208	1.033595963
209	1.022550462
210	1.014184407
211	1.002111491
212	0.9904042321
213	0.979185808
214	0.9678341907
215	0.9615533671
216	0.9510148481
217	0.9435567293
218	0.9390622018
219	0.9302209299
220	0.9210960395
221	0.9140145416
222	0.9072553439
223	0.900472375
224	0.8931374983
225	0.8876217911
226	0.8783687389
227	0.8691503496
228	0.8623673457
229	0.8570253458
230	0.8508937091
231	0.8459573192
232	0.8365585036
233	0.8287596009
234	0.822727299
235	0.817955259
236	0.8134654346
237	0.8076876594
238	0.8003504873
239	0.7923779965
240	0.7849197254
241	0.7794797952
242	0.7742002166
243	0.7664164997
244	0.7612595915
245	0.7561262803
246	0.7522192654
247	0.7474266765
248	0.7405786725
249	0.7358930183
250	0.7299673133
251	0.7254837141
252	0.7218948432
253	0.7174372625
254	0.7112112139
255	0.7081667645
256	0.7021013226
257	0.696174437
258	0.6929712522
259	0.6864199172
260	0.6806637524
261	0.6776249612
262	0.6737113143
263	0.6690395108
264	0.6661579674
265	0.6608088032
266	0.6571793765
267	0.653806481
268	0.6503536092
269	0.6457138517
270	0.6409980405
271	0.6373736036
272	0.63480619
273	0.6313123389
274	0.6262090954
275	0.6239452378
276	0.6214930188
277	0.6171521478
278	0.6150222971
279	0.6112604061
280	0.6071146102
281	0.6050987145
282	0.6022082301
283	0.5991106678
284	0.5971589374
285	0.5950556997
286	0.5931888962
287	0.5894038596
288	0.5864669745
289	0.5846656092
290	0.5810823005
291	0.5793468944
292	0.5776510382
293	0.5747724854
294	0.5731087069
295	0.5714824995
296	0.5670887707
297	0.5655233383
298	0.5634291677
299	0.561818989
300	0.5597582325
301	0.5579598086
302	0.5565266485
303	0.554981665
304	0.5533002616
305	0.5508234176
306	0.5493110636
307	0.5479830433
308	0.5466846808
309	0.5433096691
310	0.5420540094
311	0.5406904847
312	0.5377698303
313	0.5365891471
314	0.5354348964
315	0.533272633
316	0.5321590586
317	0.5300046223
318	0.5289296989
319	0.5278787291
320	0.526411932
321	0.5246349887
322	0.5236295276
323	0.5211641581
324	0.5201935809
325	0.5192448769
326	0.5183174837
327	0.5154338526
328	0.5136231483
329	0.5127426718
330	0.5115050343
331	0.5106650903
332	0.5088006128
333	0.5079790116
334	0.5052894727
335	0.5037569539
336	0.501454981
337	0.5006717936
338	0.499906322
339	0.4981068352
340	0.4973580187
341	0.4960891311
342	0.4941448757
343	0.4926161786
344	0.4911874046
345	0.488742778
346	0.4864010709
347	0.4841364515
348	0.4827654827
349	0.4811166227
350	0.4790227189
351	0.4769972463
352	0.4757607334
353	0.4741916038
354	0.4727937373
355	0.4713181303
356	0.4694659227
357	0.4680646868
358	0.4666949113
359	0.465556142
360	0.4642534308
361	0.461567297
362	0.4600570778
363	0.4576410812
364	0.4564607618
365	0.454545199
366	0.453412502
367	0.4522983764
368	0.4511496349
369	0.4500781098
370	0.449035921
371	0.4470355684
372	0.4451083803
373	0.4434606427
374	0.4412137007
375	0.4395819201
376	0.4386256783
377	0.4376601786
378	0.4358785909
379	0.4345541422
380	0.4328505107
381	0.4319558643
382	0.4303262505
383	0.4287547369
384	0.4268275807
385	0.4244228943
386	0.4225186072
387	0.4216587394
388	0.4208840275
389	0.4194426255
390	0.4186683666
391	0.4164085151
392	0.4154834819
393	0.4137555278
394	0.4130379563
395	0.4109492807
396	0.4102488108
397	0.4094828527
398	0.4087845337
399	0.406819372
400	0.406070028
401	0.4049627836
402	0.4042084978
403	0.4035354519
404	0.4025085867
405	0.4018369787
406	0.4011918987
407	0.3997557503
408	0.3992381172
409	0.3984737829
410	0.3978164732
411	0.3970698863
412	0.3964220844
413	0.3957953293
414	0.3941326084
415	0.393518325
416	0.3928213455
417	0.3924000394
418	0.3919918808
419	0.3914545765
420	0.3910630916
421	0.3902178251
422	0.3897075763
423	0.388494523
424	0.3878402581
425	0.3872181225
426	0.3854131641
427	0.384286348
428	0.3830526497
429	0.3819053271
430	0.3810557269
431	0.3806736202
432	0.3795610512
433	0.37884452
434	0.3783308689
435	0.3780135471
436	0.3769171761
437	0.3758589718
438	0.3754949162
439	0.3749196397
440	0.3735965106
441	0.3727173108
442	0.3710804171
443	0.3694806055
444	0.3686209023
445	0.3672900362
446	0.3670571822
447	0.3660560149
448	0.3650139091
449	0.3640279969
450	0.3631793152
451	0.3621822013
452	0.361174894
453	0.3596499288
454	0.3590790193
455	0.358120377
456	0.357697155
457	0.3571076277
458	0.3562904233
459	0.3558408826
460	0.3552776757
461	0.3543126721
462	0.3532037988
463	0.3522788293
464	0.3520163805
465	0.3507548986
466	0.3502607611
467	0.349810078
468	0.3494145593
469	0.3481688765
470	0.3471096108
471	0.3467592761
472	0.345543226
473	0.345114212
474	0.344684617
475	0.3442892752
476	0.3428983471
477	0.3426319371
478	0.3419851444
479	0.3416749763
480	0.3412011329
481	0.3404227843
482	0.3392715476
483	0.3384590126
484	0.3378551808
485	0.3373056128
486	0.3358690105
487	0.3353182384
488	0.3342119356
489	0.3331454494
490	0.3328921148
491	0.3318640824
492	0.331042647
493	0.3300567041
494	0.3292627491
495	0.3284449454
496	0.327507886
497	0.326741084
498	0.3262930195
499	0.3250592837
500	0.3241747265
501	0.3228078387
502	0.3221758208
503	0.3215405868
504	0.3208738364
505	0.3196511362
506	0.3183299945
507	0.317477977
508	0.3165406289
509	0.3157225063
510	0.3151863429
511	0.3144932387
512	0.3138351746
513	0.3130897777
514	0.3126432447
515	0.3119864242
516	0.3110749472
517	0.3097881445
518	0.3087126203
519	0.3076632659
520	0.3070565411
521	0.3058318962
522	0.3052299927
523	0.3042942946
524	0.30344845
525	0.3024293587
526	0.3012501744
527	0.3006514309
528	0.3001175251
529	0.299224334
530	0.2984057308
531	0.2975704129
532	0.2967502389
533	0.2961932769
534	0.2955966714
535	0.2950447242
536	0.2944373889
537	0.2935809882
538	0.2924695976
539	0.2922196896
540	0.2912670246
541	0.2902064835
542	0.2892810855
543	0.288984139
544	0.2884291175
545	0.2882976332
546	0.2881676147
547	0.2878911127
548	0.2873425022
549	0.2864452967
550	0.2863332673
551	0.2854578297
552	0.2849943613
553	0.284621279
554	0.2843277172
555	0.2835703251
556	0.2831177633
557	0.2826690679
558	0.2825667574
559	0.2819862839
560	0.2815118945
561	0.280981342
562	0.2804710883
563	0.2796566947
564	0.2793886717
565	0.2786633933
566	0.2777962031
567	0.2770674719
568	0.2764141218
569	0.2757759867
570	0.2750527001
571	0.2742360927
572	0.2736330742
573	0.2729295705
574	0.2721662774
575	0.2714799032
576	0.2708310628
577	0.2703890582
578	0.2699608985
579	0.2694721189
580	0.2690567251
581	0.2685662459
582	0.2678435898
583	0.2671863262
584	0.2665568272
585	0.2659876932
586	0.2656731918
587	0.2651543062
588	0.2645297847
589	0.263876314
590	0.2631911479
591	0.2624611472
592	0.2615745784
593	0.2609635111
594	0.2603011881
595	0.2596466294
596	0.2590811809
597	0.2583442476
598	0.2577881774
599	0.2570926494
600	0.2565528288
601	0.2560235329
602	0.2556568017
603	0.2549037377
604	0.2540959152
605	0.2538109697
606	0.2532343589
607	0.2526372103
608	0.2519666939
609	0.251739632
610	0.2510738011
611	0.2508926049
612	0.250369851
613	0.2497092815
614	0.2495409996
615	0.2488974654
616	0.2483808059
617	0.2480111092
618	0.2473886852
619	0.2467627495
620	0.2465468249
621	0.2459662312
622	0.2456799988
623	0.2450567727
624	0.2444740021
625	0.2437473212
626	0.243162651
627	0.2425555249
628	0.2424002293
629	0.2417004544
630	0.241099094
631	0.2404309715
632	0.2399152003
633	0.2393288116
634	0.238703414
635	0.2381241496
636	0.2375503389
637	0.2372311092
638	0.2366134338
639	0.2364591305
640	0.2359103413
641	0.2357572179
642	0.2352908263
643	0.2350664901
644	0.234382626
645	0.2342369203
646	0.2337966972
647	0.233653358
648	0.2334509568
649	0.2328966638
650	0.2323475268
651	0.2316719974
652	0.2312328197
653	0.2310958785
654	0.2305725297
655	0.2300023356
656	0.229338952
657	0.2292032652
658	0.2287228162
659	0.228493912
660	0.2279398317
661	0.2274537672
662	0.227178927
663	0.2265532744
664	0.2263567646
665	0.2258842637
666	0.2256982598
667	0.2254321388
668	0.2247109651
669	0.2240193963
670	0.2238390104
671	0.2231633959
672	0.2229946846
673	0.2228595692
674	0.2221742719
675	0.2220037696
676	0.2213715036
677	0.2212127103
678	0.220554511
679	0.2198970929
680	0.2194370474
681	0.2189660079
682	0.218481863
683	0.2179781219
684	0.2173383398
685	0.2168614509
686	0.216414489
687	0.2162491763
688	0.2157724058
689	0.2153333481
690	0.2147115432
691	0.2142441358
692	0.2137729961
693	0.2131718607
694	0.2127173189
695	0.2122200601
696	0.2117254688
697	0.2113792149
698	0.210748644
699	0.2102732695
700	0.2101207254
701	0.2095039088
702	0.2089296232
703	0.2083358078
704	0.208008247
705	0.2075580735
706	0.2073986207
707	0.2068698676
708	0.2064021094
709	0.2059295883
710	0.205698118
711	0.205526745
712	0.2048739218
713	0.2044160601
714	0.2042737641
715	0.2039808276
716	0.2033465714
717	0.2032098442
718	0.2030683901
719	0.202969928
720	0.2023473137
721	0.2019250824
722	0.2014563696
723	0.2010163459
724	0.2005668808
725	0.2004245146
726	0.2002641144
727	0.1996775675
728	0.1990948647
729	0.1988791346
730	0.1987281919
731	0.1986014005
732	0.1981715468
733	0.1978009104
734	0.197676748
735	0.1969167348
736	0.1963470551
737	0.1960408898
738	0.1959153171
739	0.1955144102
740	0.1954266392
741	0.1951813503
742	0.195093302
743	0.1949781686
744	0.1945219611
745	0.1941441794
746	0.1935772089
747	0.1934571476
748	0.1932216403
749	0.1931086794
750	0.192548416
751	0.192431541
752	0.1917022758
753	0.1916187442
754	0.1913054129
755	0.190982141
756	0.1908721188
757	0.1901627009
758	0.1897207755
759	0.1896090556
760	0.1890110769
761	0.1889278878
762	0.1888078217
763	0.1886733263
764	0.1883067184
765	0.187898009
766	0.1878182775
767	0.1873968721
768	0.1869969477
769	0.1866464181
770	0.1860850639
771	0.1857345981
772	0.1852035112
773	0.1850197087
774	0.1849167848
775	0.1844541444
776	0.184146529
777	0.1836202206
778	0.183238495
779	0.1831339093
780	0.1830476224
781	0.1825100342
782	0.1821399088
783	0.1816279164
784	0.1815439122
785	0.1810179739
786	0.1806809818
787	0.1801621412
788	0.1796467384
789	0.1795807063
790	0.1790446868
791	0.1789666726
792	0.1788670456
793	0.1784067222
794	0.1778412509
795	0.1774101735
796	0.1769236092
797	0.1765613713
798	0.1761715287
799	0.1760750236
800	0.1758139526
801	0.1753665521
802	0.1750399641
803	0.1749638067
804	0.1749000892
805	0.1747799187
806	0.1743096633
807	0.1738153798
808	0.1733316445
809	0.1728240897
810	0.1724832264
811	0.1723834101
812	0.1723106338
813	0.1718345491
814	0.1717719594
815	0.1717019309
816	0.1713009792
817	0.1708048818
818	0.1707139907
819	0.1706250614
820	0.1705572795
821	0.1704411051
822	0.1699997773
823	0.1699670992
824	0.1694994555
825	0.1694155034
826	0.169120748
827	0.168661871
828	0.1680714823
829	0.1680509917
830	0.1675743736
831	0.167150985
832	0.1671309918
833	0.166817291
834	0.1662564703
835	0.1662241724
836	0.1661824354
837	0.1661251112
838	0.1658345923
839	0.1655258355
840	0.1651320738
841	0.1646871833
842	0.1643897361
843	0.1642959105
844	0.1638437126
845	0.1633113699
846	0.1630983996
847	0.1626551302
848	0.1620650777
849	0.1619995504
850	0.1615669725
851	0.1615111061
852	0.1612934216
853	0.1612667663
854	0.1609860159
855	0.1607368832
856	0.1606462377
857	0.1605662978
858	0.1602237044
859	0.1598836948
860	0.1598091576
861	0.1595384206
862	0.1590492099
863	0.158621725
864	0.1583387246
865	0.1580148396
866	0.1576856896
867	0.1573124871
868	0.1572493279
869	0.1569412303
870	0.1568547625
871	0.1565181131
872	0.1559602334
873	0.1558766092
874	0.1556072676
875	0.1555793068
876	0.1552519743
877	0.1551991705
878	0.1551825255
879	0.1547652363
